"SPECIES","n"
"Alligator snapping turtle",3
"American black bear",3
"Black-legged kittiwake",3
"Blue-and-white swallow",3
"Bohemian waxwing",3
"Brown booby",3
"California myotis",3
"California towhee",3
"Calliope hummingbird",3
"Cape serotine",3
"Caribou",3
"Carrion crow",3
"Clark's grebe",3
"Cormorants",3
"Corn snake",3
"Couch's kingbird",3
"Coypu (nutria)",3
"Cranes",3
"Double-striped thick-knee",3
"Eastern gray squirrel",3
"Eurasian wigeon",3
"Florida red-bellied cooter",3
"Gray-breasted martin",3
"Great kiskadee",3
"Greater Antillean grackle",3
"Grouse",3
"Hairy woodpecker",3
"Hawaiian hawk",3
"Helmeted guineafowl",3
"Jamaican fruit bat",3
"Kentish plover",3
"Limpkin",3
"Long-legged myotis",3
"Meadow pipit",3
"Nacunda nighthawk",3
"New world rats",3
"Northern shrike",3
"Pacific loon",3
"Parasitic jaeger",3
"Partridges",3
"Prairie rattlesnake",3
"Rock ptarmigan",3
"Seaside sparrow",3
"Song thrush",3
"Striped mud turtle",3
"Swainson's warbler",3
"Thrashers",3
"Tricolored blackbird",3
"Trumpeter swan",3
"Water moccasin",3
"Western screech-owl",3
"Western yellow bat",3
"Whiskered tern",3
"Yellow rail",3
"Yellow-legged gull",3
"Yuma myotis",3
"Antelope jackrabbit",2
"Bar-tailed godwit",2
"Bare-eyed pigeon",2
"Bats",2
"Bicknell's thrush",2
"Black turnstone",2
"Blackbirds, meadowlarks, orioles",2
"Blue-crowned parakeet",2
"Botta's pocket gopher",2
"Bushtit",2
"California kingsnake",2
"Canada jay",2
"Checkered garter snake",2
"Chihuahuan meadowlark",2
"Collared plover",2
"Common pipistrelle",2
"Curve-billed thrasher",2
"DeKay's brown snake",2
"Diamondback water snake",2
"Eastern diamondback rattlesnake",2
"Eastern mud turtle",2
"Eastern small-footed myotis",2
"Egyptian goose",2
"Emperor goose",2
"Eurasian coot",2
"Eurasian curlew",2
"Florida bonneted bat",2
"Fork-tailed storm-petrel",2
