"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Mule deer","Approach","Night",3,2,0.666666666666667
"Northern pintail","Landing Roll","Night",3,2,0.666666666666667
"Northern shoveler","Descent","Day",3,2,0.666666666666667
"Osprey","Climb","Dawn",3,2,0.666666666666667
"Pelicans","Approach","Day",3,2,0.666666666666667
"Red-necked phalarope","Climb","Night",3,2,0.666666666666667
"Red-tailed hawk","Local","Night",3,2,0.666666666666667
"Ring-necked pheasant","Take-off Run","Night",3,2,0.666666666666667
"Ruddy duck","Approach","Day",3,2,0.666666666666667
"Sandhill crane","Approach","Dusk",3,2,0.666666666666667
"Thrushes","En Route","Night",3,2,0.666666666666667
"Varied thrush","En Route","Night",3,2,0.666666666666667
"Wood thrush","Climb","Night",3,2,0.666666666666667
"Ducks","En Route","Night",57,37,0.649122807017544
"Turkey vulture","Climb","Day",268,173,0.645522388059702
"Canada goose","Climb","Day",234,151,0.645299145299145
"White-tailed deer","Take-off Run","Dusk",31,20,0.645161290322581
"Anhinga","Approach","Day",25,16,0.64
"American wigeon","Approach","Day",11,7,0.636363636363636
"Brown pelican","Climb","Day",11,7,0.636363636363636
"Gadwall","Climb","Night",11,7,0.636363636363636
"Canada goose","Approach","Night",335,212,0.632835820895522
"Canada goose","Climb","Night",65,41,0.630769230769231
"Bald eagle","Climb","Day",62,39,0.629032258064516
"Snow goose/Ross's goose complex","Approach","Night",24,15,0.625
"American wigeon","Climb","Night",8,5,0.625
"Gulls","En Route","Dusk",8,5,0.625
"Canada goose","Climb","Dusk",29,18,0.620689655172414
"White-tailed deer","Taxi","Night",13,8,0.615384615384615
"New World vultures","Approach","Day",185,112,0.605405405405405
"Canada goose","Approach","Dusk",91,55,0.604395604395604
"Gulls","En Route","Day",121,73,0.603305785123967
"Canada goose","Climb","Dawn",20,12,0.6
"American white pelican","Approach","Day",15,9,0.6
"Broad-winged hawk","Climb","Day",15,9,0.6
"American crow","En Route","Day",5,3,0.6
"Blue-winged teal","Climb","Night",5,3,0.6
"Crested caracara","Approach","Day",5,3,0.6
"Eagles","Approach","Day",5,3,0.6
"Franklin's gull","Approach","Night",5,3,0.6
"Great horned owl","Climb","Night",5,3,0.6
"Mallard","Descent","Night",5,3,0.6
"Red-throated loon","Approach","Day",5,3,0.6
"White-headed gull complex","Climb","Night",5,3,0.6
"Yellow-billed cuckoo","Climb","Night",5,3,0.6
"New World vultures","Climb","Day",102,60,0.588235294117647
"White-faced ibis","Approach","Night",12,7,0.583333333333333
"Ducks, geese, swans","Approach","Dusk",7,4,0.571428571428571
"Gulls","Descent","Night",7,4,0.571428571428571
"Raptors: Hawks, eagles, vultures, kites, osprey, falcons, caracaras","En Route","Day",7,4,0.571428571428571
"White-tailed deer","Local","Night",7,4,0.571428571428571
"White-tailed tropicbird","En Route","Day",23,13,0.565217391304348
"Blue-winged teal","Approach","Night",32,18,0.5625
"American coot","Climb","Night",27,15,0.555555555555556
"Blackbirds","En Route","Day",9,5,0.555555555555556
"Cackling goose","Approach","Day",9,5,0.555555555555556
"Ducks, geese, swans","Climb","Night",9,5,0.555555555555556
"Sandhill crane","Landing Roll","Dusk",11,6,0.545454545454545
"Ducks, geese, swans","Approach","Day",24,13,0.541666666666667
"Canada goose","Approach","Dawn",26,14,0.538461538461538
"Ducks","Climb","Dusk",13,7,0.538461538461538
"Golden eagle","Approach","Day",13,7,0.538461538461538
"White-headed gull complex","Climb","Day",47,25,0.531914893617021
"Mallard","Climb","Night",32,17,0.53125
"Ring-necked duck","Approach","Night",19,10,0.526315789473684
"Western/Clark's grebe complex","Approach","Night",19,10,0.526315789473684
"Geese","Approach","Night",145,76,0.524137931034483
"Ducks","Climb","Night",44,23,0.522727272727273
"Geese","Climb","Night",48,25,0.520833333333333
"Geese","Climb","Day",50,26,0.52
"Geese","Approach","Day",97,50,0.515463917525773
"Lesser scaup","Approach","Night",37,19,0.513513513513513
"Ruddy duck","Approach","Night",37,19,0.513513513513513
"White-tailed deer","Approach","Day",39,20,0.512820512820513
"Turkey vulture","Approach","Day",442,226,0.51131221719457
"Gadwall","Approach","Night",45,23,0.511111111111111
"Canada goose","Take-off Run","Dawn",30,15,0.5
"Glaucous-winged gull","Approach","Day",24,12,0.5
"Ducks, geese, swans","Climb","Day",18,9,0.5
"Canvasback","Approach","Night",14,7,0.5
"Herring gull","Climb","Dawn",12,6,0.5
"Cackling goose","Approach","Night",10,5,0.5
"Great blue heron","Climb","Night",10,5,0.5
"Herring gull","Take-off Run","Dusk",10,5,0.5
"Yellow-billed cuckoo","En Route","Night",10,5,0.5
"Bald eagle","Take-off Run","Dawn",8,4,0.5
"Geese","Climb","Dusk",8,4,0.5
"American black duck","Approach","Night",6,3,0.5
"Domestic/feral dog","Take-off Run","Night",6,3,0.5
"Ducks","En Route","Dusk",6,3,0.5
"European starling","En Route","Day",6,3,0.5
"Great black-backed gull","Climb","Day",6,3,0.5
"Greater yellowlegs","Approach","Night",6,3,0.5
"Magnificent frigatebird","En Route","Day",6,3,0.5
"Mottled duck","Take-off Run","Day",6,3,0.5
"Western grebe","Approach","Night",6,3,0.5
"Wilson's phalarope","Climb","Night",6,3,0.5
"American crow","Climb","Night",4,2,0.5
"American wigeon","Descent","Night",4,2,0.5
"Bald eagle","Climb","Dusk",4,2,0.5
"Ducks, geese, swans","Climb","Dusk",4,2,0.5
"Egrets","Climb","Night",4,2,0.5
"European starling","En Route","Night",4,2,0.5
"Fox sparrow","Climb","Night",4,2,0.5
"Glaucous gull","Climb","Day",4,2,0.5
"Grasshopper sparrow","Climb","Night",4,2,0.5
"Grebes","Approach","Night",4,2,0.5
"Herons","Climb","Day",4,2,0.5
"Horned grebe","Approach","Night",4,2,0.5
"Osprey","Approach","Night",4,2,0.5
"Pectoral sandpiper","Descent","Day",4,2,0.5
"Red-tailed hawk","Climb","Night",4,2,0.5
"Sandhill crane","En Route","Day",4,2,0.5
"White-headed gull complex","Take-off Run","Night",4,2,0.5
"American barn owl","Take-off Run","Dusk",2,1,0.5
"American black duck","Approach","Dusk",2,1,0.5
"American black duck","Climb","Night",2,1,0.5
"American black duck","Take-off Run","Night",2,1,0.5
"American coot","Landing Roll","Day",2,1,0.5
"American crow","En Route","Night",2,1,0.5
"American crow","Take-off Run","Dusk",2,1,0.5
"American wigeon","Climb","Dusk",2,1,0.5
"American wigeon","En Route","Day",2,1,0.5
"Arctic tern","Climb","Day",2,1,0.5
"Bald eagle","Climb","Dawn",2,1,0.5
"Band-tailed pigeon","Descent","Night",2,1,0.5
"Belted kingfisher","Approach","Day",2,1,0.5
"Black-and-white warbler","Descent","Day",2,1,0.5
"Black-billed magpie","Approach","Day",2,1,0.5
"Black-crowned night heron","Approach","Day",2,1,0.5
"Black-crowned night heron","Climb","Night",2,1,0.5
"Black vulture","Descent","Day",2,1,0.5
"Blackbirds","En Route","Night",2,1,0.5
"Blue-headed vireo","Approach","Day",2,1,0.5
"Blue-winged teal","Climb","Day",2,1,0.5
"Blue-winged teal","Departure","Night",2,1,0.5
"Brewer's blackbird","Landing Roll","Day",2,1,0.5
"Brewer's blackbird","Take-off Run","Day",2,1,0.5
"Brown pelican","Climb","Night",2,1,0.5
"Bufflehead","Approach","Day",2,1,0.5
"Bufflehead","Climb","Night",2,1,0.5
"Bufflehead","En Route","Night",2,1,0.5
"Burrowing owl","Arrival","Night",2,1,0.5
"Burrowing owl","Climb","Dusk",2,1,0.5
"California gull","Climb","Dawn",2,1,0.5
"California gull","Take-off Run","Night",2,1,0.5
"Canvasback","Climb","Day",2,1,0.5
"Caspian tern","Climb","Night",2,1,0.5
"Chimney swift","En Route","Dusk",2,1,0.5
"Cliff swallow","Climb","Night",2,1,0.5
"Common raven","Take-off Run","Dawn",2,1,0.5
"Common swift","Approach","Day",2,1,0.5
"Common yellowthroat","En Route","Day",2,1,0.5
"Cooper's hawk","Approach","Dawn",2,1,0.5
"Crows","Climb","Dawn",2,1,0.5
"Crows","En Route","Day",2,1,0.5
"Crows, ravens","Approach","Day",2,1,0.5
"Ducks","Local","Night",2,1,0.5
"Ducks, geese, swans","Descent","Night",2,1,0.5
"Eastern meadowlark","Climb","Night",2,1,0.5
"Eurasian kestrel","Take-off Run","Day",2,1,0.5
"Falcons, caracaras","Climb","Day",2,1,0.5
"Foxes","Take-off Run","Dusk",2,1,0.5
"Franklin's gull","Climb","Night",2,1,0.5
"Gadwall","Approach","Dawn",2,1,0.5
"Geese","Arrival","Day",2,1,0.5
"Gray partridge","Take-off Run","Day",2,1,0.5
"Great egret","Climb","Dusk",2,1,0.5
"Great horned owl","Approach","Day",2,1,0.5
"Great horned owl","Climb","Day",2,1,0.5
"Greater sage-grouse","Take-off Run","Dusk",2,1,0.5
"Greater scaup","Approach","Day",2,1,0.5
"Greater scaup","Climb","Night",2,1,0.5
"Greater white-fronted goose","En Route","Night",2,1,0.5
"Gulls","En Route","Dawn",2,1,0.5
"Hawks","Departure","Night",2,1,0.5
"Helmeted guineafowl","Take-off Run","Day",2,1,0.5
"Herons","Climb","Night",2,1,0.5
"Hooded merganser","Climb","Night",2,1,0.5
"House sparrow","Approach","Night",2,1,0.5
"House sparrow","En Route","Day",2,1,0.5
"Lark sparrow","Climb","Night",2,1,0.5
"Laysan albatross","Take-off Run","Day",2,1,0.5
"Little blue heron","Take-off Run","Day",2,1,0.5
"Long-billed curlew","Climb","Day",2,1,0.5
"Loons","En Route","Day",2,1,0.5
"Mallard","Local","Dusk",2,1,0.5
"Mallard/American black duck complex","Climb","Day",2,1,0.5
"Megabats","Climb","Night",2,1,0.5
"New World vultures","Approach","Night",2,1,0.5
"New World vultures","Departure","Day",2,1,0.5
"Northern bobwhite","Take-off Run","Day",2,1,0.5
"Northern pintail","Descent","Day",2,1,0.5
"Northern pintail","En Route","Day",2,1,0.5
"Northern saw-whet owl","Approach","Night",2,1,0.5
"Owls","En Route","Night",2,1,0.5
"Pectoral sandpiper","Approach","Dusk",2,1,0.5
"Perching birds (y)","Departure","Night",2,1,0.5
"Peregrine falcon","Landing Roll","Night",2,1,0.5
"Peregrine falcon","Take-off Run","Dusk",2,1,0.5
"Pine siskin","Climb","Day",2,1,0.5
"Pronghorn","Take-off Run","Night",2,1,0.5
"Red-tailed hawk","En Route","Night",2,1,0.5
"Redhead","Climb","Day",2,1,0.5
"Ring-billed gull","Arrival","Day",2,1,0.5
"Ring-billed gull","Climb","Dusk",2,1,0.5
"Ring-billed gull","Descent","Night",2,1,0.5
"Ring-necked pheasant","Take-off Run","Dusk",2,1,0.5
"Roseate spoonbill","Climb","Day",2,1,0.5
"Rough-legged hawk","Take-off Run","Night",2,1,0.5
"Sandhill crane","Take-off Run","Dusk",2,1,0.5
"Short-eared owl","En Route","Day",2,1,0.5
"Snow goose/Ross's goose complex","Climb","Dawn",2,1,0.5
"Snowy egret","Landing Roll","Dawn",2,1,0.5
"Snowy owl","Climb","Dawn",2,1,0.5
"Song sparrow","Approach","Dawn",2,1,0.5
"Surf scoter","Approach","Night",2,1,0.5
"Swainson's hawk","Take-off Run","Dusk",2,1,0.5
"Swans","Climb","Day",2,1,0.5
"Tundra swan","Approach","Day",2,1,0.5
"Varied thrush","Approach","Dawn",2,1,0.5
"Varied thrush","Climb","Day",2,1,0.5
"Veery","Climb","Day",2,1,0.5
"Wedge-tailed shearwater","Take-off Run","Night",2,1,0.5
"Western cattle egret","Approach","Dusk",2,1,0.5
"Western cattle egret","Climb","Dusk",2,1,0.5
"Western cattle egret","Climb","Night",2,1,0.5
"Western grebe","Approach","Day",2,1,0.5
"Western gull","Landing Roll","Dawn",2,1,0.5
"Western sandpiper","Climb","Dusk",2,1,0.5
"Western sandpiper","Descent","Night",2,1,0.5
"Whimbrel","Descent","Day",2,1,0.5
"White-crowned sparrow","Descent","Night",2,1,0.5
"White-faced ibis","Climb","Day",2,1,0.5
"White-headed gull complex","Descent","Night",2,1,0.5
"White-headed gull complex","Take-off Run","Dawn",2,1,0.5
"White-tailed deer","Approach","Dawn",2,1,0.5
"White-tailed deer","Climb","Dawn",2,1,0.5
"Wilson's phalarope","Descent","Night",2,1,0.5
"Wood duck","Climb","Night",2,1,0.5
"Wood duck","En Route","Dawn",2,1,0.5
"Wood stork","Approach","Night",2,1,0.5
"Wood stork","En Route","Day",2,1,0.5
"Yellow-bellied sapsucker","En Route","Night",2,1,0.5
"Yellow-billed cuckoo","Climb","Day",2,1,0.5
"Yellow-billed cuckoo","Descent","Day",2,1,0.5
"Yellow-billed cuckoo","Descent","Night",2,1,0.5
"Yellow-headed blackbird","Climb","Night",2,1,0.5
"Zebra dove","Approach","Dawn",2,1,0.5
"Bald eagle","Approach","Day",126,61,0.484126984126984
"American robin","En Route","Night",17,8,0.470588235294118
"Raptors: Hawks, eagles, vultures, kites, osprey, falcons, caracaras","Climb","Day",15,7,0.466666666666667
"Canada goose","Take-off Run","Night",37,17,0.459459459459459
"Canada goose","Approach","Day",406,185,0.455665024630542
"Geese","Approach","Dusk",22,10,0.454545454545455
"Common raven","Climb","Day",11,5,0.454545454545455
"Crested caracara","Take-off Run","Day",11,5,0.454545454545455
"Mallard","Climb","Dusk",11,5,0.454545454545455
"Osprey","Climb","Day",53,24,0.452830188679245
"Sandhill crane","Take-off Run","Day",31,14,0.451612903225806
"Ducks, geese, swans","Approach","Night",51,23,0.450980392156863
"Osprey","Approach","Day",171,77,0.450292397660819
"Canada goose","Landing Roll","Night",69,31,0.449275362318841
"Wild turkey","Landing Roll","Day",47,21,0.446808510638298
"Herring gull","Approach","Dawn",18,8,0.444444444444444
"Hooded merganser","Approach","Night",9,4,0.444444444444444
"Turkey vulture","Approach","Night",9,4,0.444444444444444
"Canada goose","Take-off Run","Dusk",16,7,0.4375
"Mallard","Approach","Night",209,91,0.435406698564593
"Broad-winged hawk","Approach","Day",23,10,0.434782608695652
"Swainson's hawk","Climb","Day",23,10,0.434782608695652
"Northern pintail","Approach","Night",136,59,0.433823529411765
"Wood duck","Approach","Night",28,12,0.428571428571429
"Red-shouldered hawk","Approach","Day",14,6,0.428571428571429
"Great blue heron","Approach","Dusk",7,3,0.428571428571429
"Rock pigeon","En Route","Day",7,3,0.428571428571429
"Wood stork","Approach","Day",7,3,0.428571428571429
"Red-tailed hawk","Climb","Day",247,105,0.425101214574899
"Great horned owl","Take-off Run","Night",19,8,0.421052631578947
"Sandhill crane","Approach","Day",24,10,0.416666666666667
"American wigeon","Approach","Night",46,19,0.41304347826087
"Great blue heron","Approach","Night",46,19,0.41304347826087
"Great blue heron","Climb","Day",39,16,0.41025641025641
"Western gull","Climb","Day",22,9,0.409090909090909
"Double-crested cormorant","Approach","Day",64,26,0.40625
"Sandhill crane","Landing Roll","Day",32,13,0.40625
"Mallard","Approach","Dusk",37,15,0.405405405405405
"Northern shoveler","Approach","Night",65,26,0.4
"Grackles","Climb","Day",10,4,0.4
"Ring-billed gull","Climb","Dawn",10,4,0.4
"American robin","Arrival","Night",5,2,0.4
"Bald eagle","Departure","Day",5,2,0.4
"Cooper's hawk","Take-off Run","Dusk",5,2,0.4
"Double-crested cormorant","Climb","Dawn",5,2,0.4
"Eastern cottontail","Landing Roll","Day",5,2,0.4
"Geese","Climb","Dawn",5,2,0.4
"Geese","Descent","Night",5,2,0.4
"Glaucous-winged gull","Take-off Run","Dawn",5,2,0.4
"Hawks","Descent","Day",5,2,0.4
"Red-tailed hawk","Descent","Day",5,2,0.4
"Sharp-shinned hawk","Approach","Day",5,2,0.4
"Turkey vulture","Climb","Night",5,2,0.4
"White-tailed kite","Climb","Day",5,2,0.4
"Wilson's snipe","En Route","Night",5,2,0.4
"Canada goose","Landing Roll","Dusk",43,17,0.395348837209302
"Canada goose","Take-off Run","Day",193,76,0.393782383419689
"Ducks","Climb","Day",77,30,0.38961038961039
"Mallard/American black duck complex","Approach","Night",18,7,0.388888888888889
"Bufflehead","Approach","Night",13,5,0.384615384615385
"Gulls","Descent","Day",13,5,0.384615384615385
"Red-tailed hawk","Climb","Dusk",13,5,0.384615384615385
"Sandhill crane","Landing Roll","Night",13,5,0.384615384615385
"Turkey vulture","Local","Day",13,5,0.384615384615385
"Glaucous-winged gull","Climb","Day",16,6,0.375
"Mallard","Take-off Run","Dusk",8,3,0.375
"Mallard","Climb","Day",71,26,0.366197183098592
"Canada goose","Landing Roll","Day",178,65,0.365168539325843
"Bald eagle","Take-off Run","Day",88,32,0.363636363636364
"Ring-necked pheasant","Landing Roll","Day",22,8,0.363636363636364
"Common raven","Take-off Run","Day",11,4,0.363636363636364
"Greater white-fronted goose","Approach","Day",11,4,0.363636363636364
"Mourning dove","En Route","Night",11,4,0.363636363636364
"New World vultures","Landing Roll","Day",11,4,0.363636363636364
"Rough-legged hawk","Approach","Day",11,4,0.363636363636364
"Western cattle egret","Approach","Night",14,5,0.357142857142857
"Wild turkey","Approach","Day",14,5,0.357142857142857
"Snowy owl","Take-off Run","Day",26,9,0.346153846153846
"Gulls","Climb","Dusk",35,12,0.342857142857143
"California gull","Climb","Day",27,9,0.333333333333333
"Ducks","Climb","Dawn",18,6,0.333333333333333
"Canada goose","Landing Roll","Dawn",12,4,0.333333333333333
"Ducks","Approach","Dawn",12,4,0.333333333333333
"Blue-winged teal","En Route","Night",9,3,0.333333333333333
"Northern pintail","Approach","Dusk",9,3,0.333333333333333
"Pectoral sandpiper","Approach","Night",9,3,0.333333333333333
"Pigeons, doves","Climb","Day",9,3,0.333333333333333
"Black-headed grosbeak","Descent","Night",6,2,0.333333333333333
"Brown pelican","Approach","Night",6,2,0.333333333333333
"Diving duck (Aythya)","Climb","Night",6,2,0.333333333333333
"Double-crested cormorant","Approach","Night",6,2,0.333333333333333
"Ducks","Take-off Run","Dawn",6,2,0.333333333333333
"Ferruginous hawk","Climb","Day",6,2,0.333333333333333
"Gadwall","Approach","Dusk",6,2,0.333333333333333
"Green-winged teal","Approach","Day",6,2,0.333333333333333
"Hawks","Climb","Dusk",6,2,0.333333333333333
"Herring gull","Climb","Night",6,2,0.333333333333333
"Killdeer","Taxi","Day",6,2,0.333333333333333
"Mallard","Take-off Run","Dawn",6,2,0.333333333333333
"Peregrine falcon","Take-off Run","Dawn",6,2,0.333333333333333
"Red-breasted merganser","Approach","Night",6,2,0.333333333333333
"Ring-necked pheasant","Approach","Day",6,2,0.333333333333333
"Western cattle egret","Take-off Run","Dawn",6,2,0.333333333333333
"American alligator","Landing Roll","Night",3,1,0.333333333333333
"American coot","Take-off Run","Night",3,1,0.333333333333333
"American crow","Local","Day",3,1,0.333333333333333
"American crow","Take-off Run","Dawn",3,1,0.333333333333333
"American golden-plover","Take-off Run","Dawn",3,1,0.333333333333333
"American wigeon","Climb","Day",3,1,0.333333333333333
"American wigeon","Take-off Run","Night",3,1,0.333333333333333
"Baltimore oriole","En Route","Night",3,1,0.333333333333333
"Black-bellied plover","Climb","Night",3,1,0.333333333333333
"Black-tailed jackrabbit","Landing Roll","Dusk",3,1,0.333333333333333
"Blue-winged/cinnamon/green-winged teal complex","Approach","Night",3,1,0.333333333333333
"Broad-winged hawk","En Route","Day",3,1,0.333333333333333
"Canada goose","Local","Day",3,1,0.333333333333333
"Canada goose","Taxi","Night",3,1,0.333333333333333
"Caspian tern","Approach","Night",3,1,0.333333333333333
"Common goldeneye","Approach","Night",3,1,0.333333333333333
"Common grackle","Climb","Dusk",3,1,0.333333333333333
"Cuckoos","Descent","Night",3,1,0.333333333333333
"Double-crested cormorant","Approach","Dusk",3,1,0.333333333333333
"Ducks","Descent","Day",3,1,0.333333333333333
"Ducks","En Route","Dawn",3,1,0.333333333333333
"Ducks","Take-off Run","Dusk",3,1,0.333333333333333
"Ducks, geese, swans","Approach","Dawn",3,1,0.333333333333333
"Eastern kingbird","En Route","Night",3,1,0.333333333333333
"Egrets","Take-off Run","Night",3,1,0.333333333333333
"Geese","Landing Roll","Night",3,1,0.333333333333333
"Glaucous-winged gull","Climb","Dawn",3,1,0.333333333333333
"Gray francolin","Take-off Run","Day",3,1,0.333333333333333
"Great-tailed grackle","Climb","Day",3,1,0.333333333333333
"Great blue heron","Climb","Dusk",3,1,0.333333333333333
"Greater sage-grouse","Approach","Day",3,1,0.333333333333333
"Green-winged teal","Approach","Dusk",3,1,0.333333333333333
"Hooded warbler","Approach","Night",3,1,0.333333333333333
"House finch","Approach","Night",3,1,0.333333333333333
"Killdeer","Arrival","Dusk",3,1,0.333333333333333
"Lesser black-backed gull","Approach","Day",3,1,0.333333333333333
"Lesser yellowlegs","Approach","Night",3,1,0.333333333333333
"Lesser yellowlegs","Landing Roll","Day",3,1,0.333333333333333
"Magnificent frigatebird","Climb","Day",3,1,0.333333333333333
"Mallard","Arrival","Night",3,1,0.333333333333333
"Mallard/American black duck complex","Approach","Dawn",3,1,0.333333333333333
"Meadowlarks","Take-off Run","Dusk",3,1,0.333333333333333
"Mourning dove","En Route","Day",3,1,0.333333333333333
"Northern pintail","Descent","Night",3,1,0.333333333333333
"Northern pintail","En Route","Dusk",3,1,0.333333333333333
"Northern shoveler","Approach","Dusk",3,1,0.333333333333333
"Owls","Take-off Run","Dusk",3,1,0.333333333333333
"Pelicans","Climb","Day",3,1,0.333333333333333
