"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Short-billed dowitcher","Climb","Dusk",1,1,1
"Short-billed gull","Climb","Night",1,1,1
"Short-eared owl","En Route","Night",1,1,1
"Snow goose","Approach","Dawn",1,1,1
"Snow goose","Approach","Dusk",1,1,1
"Snow goose","Descent","Day",1,1,1
"Snow goose","Take-off Run","Dawn",1,1,1
"Snow goose","Take-off Run","Night",1,1,1
"Snow goose/Ross's goose complex","Approach","Dusk",1,1,1
"Snow goose/Ross's goose complex","Descent","Day",1,1,1
"Snow goose/Ross's goose complex","En Route","Night",1,1,1
"Snowy egret","En Route","Dusk",1,1,1
"Sooty tern","En Route","Day",1,1,1
"Sora","Descent","Day",1,1,1
"Southern lapwing","Take-off Run","Night",1,1,1
"Spotted dove","Take-off Run","Night",1,1,1
"Spotted thick-knee","Local","Night",1,1,1
"Spur-winged lapwing","Departure","Day",1,1,1
"Surfbird","Landing Roll","Night",1,1,1
"Swainson's hawk","Departure","Day",1,1,1
"Swainson's hawk","Descent","Day",1,1,1
"Swans","Taxi","Day",1,1,1
"Swifts","En Route","Day",1,1,1
"Swine (pigs)","Approach","Night",1,1,1
"Swine (pigs)","Landing Roll","Dusk",1,1,1
"Terns, noddies","Climb","Dawn",1,1,1
"Terns, noddies","En Route","Day",1,1,1
"Townsend's solitaire","Approach","Night",1,1,1
"Trumpeter swan","Approach","Day",1,1,1
"Trumpeter swan","Climb","Day",1,1,1
"Tundra swan","Approach","Dusk",1,1,1
"Tundra swan","Climb","Dusk",1,1,1
"Tundra swan","Climb","Night",1,1,1
"Tundra swan","En Route","Day",1,1,1
"Turkey vulture","Climb","Dawn",1,1,1
"Turkey vulture","En Route","Dusk",1,1,1
"Turkey vulture","Landing Roll","Night",1,1,1
"Veery","Descent","Day",1,1,1
"Veery","En Route","Night",1,1,1
"Violet-green swallow","Departure","Day",1,1,1
"Wapiti (elk)","Approach","Day",1,1,1
"Wapiti (elk)","Approach","Night",1,1,1
"Wapiti (elk)","Climb","Day",1,1,1
"Wapiti (elk)","Take-off Run","Dusk",1,1,1
"Wapiti (elk)","Take-off Run","Night",1,1,1
"Western barn owl","Climb","Day",1,1,1
"Western grebe","Climb","Day",1,1,1
"Western grebe","Landing Roll","Night",1,1,1
"Western grebe","Take-off Run","Day",1,1,1
"Western grebe","Take-off Run","Dusk",1,1,1
"Western mastiff bat","Approach","Night",1,1,1
"Western tanager","En Route","Night",1,1,1
"Whimbrel","Descent","Night",1,1,1
"Whimbrel","Take-off Run","Day",1,1,1
"White-bellied sea-eagle","Take-off Run","Day",1,1,1
"White-crowned sparrow","Take-off Run","Night",1,1,1
"White-fronted Swift","Approach","Night",1,1,1
"White-headed gull complex","Departure","Day",1,1,1
"White-headed gull complex","En Route","Dawn",1,1,1
"White-rumped sandpiper","Arrival","Day",1,1,1
"White-tailed deer","Arrival","Day",1,1,1
"White-tailed kite","Departure","Day",1,1,1
"White-winged dove","Departure","Day",1,1,1
"White-winged scoter","Approach","Dusk",1,1,1
"White-winged scoter","Climb","Day",1,1,1
"White-winged scoter","Climb","Night",1,1,1
"White-winged scoter","En Route","Dusk",1,1,1
"White-winged scoter","Take-off Run","Night",1,1,1
"White ibis","Climb","Day",1,1,1
"White ibis","En Route","Day",1,1,1
"Whooping crane","Landing Roll","Night",1,1,1
"Wild turkey","Take-off Run","Dawn",1,1,1
"Wild turkey","Take-off Run","Night",1,1,1
"Willow ptarmigan","Climb","Day",1,1,1
"Willow ptarmigan","Climb","Dusk",1,1,1
"Wilson's phalarope","Climb","Day",1,1,1
"Wood duck","Climb","Day",1,1,1
"Wood duck","Climb","Dusk",1,1,1
"Wood duck","En Route","Dusk",1,1,1
"Wood duck","Take-off Run","Day",1,1,1
"Wrens","Take-off Run","Dawn",1,1,1
"Yellow-bellied sapsucker","Departure","Day",1,1,1
"Yellow-bellied sapsucker","Descent","Day",1,1,1
