"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK","RATE_RANK"
"Sharp-tailed grouse","Named species",37,37,2,0,0.0540540540540541,214,99
"Western cattle egret","Named species",1138,1138,60,0,0.0527240773286467,27,100
"Western tanager","Named species",134,134,7,0,0.0522388059701493,127,101
"Blue-headed vireo","Named species",58,58,3,0,0.0517241379310345,185,102
"Dunlin","Named species",180,180,9,0,0.05,109,103
"American woodcock","Named species",283,283,14,0,0.049469964664311,79,104
"Cooper's hawk","Named species",249,249,12,0,0.0481927710843374,86,105
"Green heron","Named species",65,65,3,0,0.0461538461538462,185,106
"Swainson's thrush","Named species",983,983,45,0,0.0457782299084435,36,107
"Violet-green swallow","Named species",66,66,3,0,0.0454545454545455,185,108
"Brown thrasher","Named species",67,67,3,0,0.0447761194029851,185,109
"Great crested flycatcher","Named species",67,67,3,0,0.0447761194029851,185,109
"White-throated swift","Named species",159,159,7,0,0.0440251572327044,127,111
"Purple martin","Named species",460,460,20,0,0.0434782608695652,62,112
"Bonaparte's gull","Named species",95,95,4,0,0.0421052631578947,158,113
"Black-bellied plover","Named species",313,313,12,0,0.0383386581469649,86,114
