"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK"
"Black-billed cuckoo","Named species",21,21,1,0,0.0476190476190476,259
"American avocet","Named species",20,20,1,0,0.05,259
"Blue grosbeak","Named species",20,20,1,0,0.05,259
"Carolina wren","Named species",20,20,1,0,0.05,259
"Ash-throated flycatcher","Named species",19,19,1,0,0.0526315789473684,259
"Long-billed dowitcher","Named species",18,18,1,0,0.0555555555555556,259
"Florida softshell turtle","Named species",17,17,1,0,0.0588235294117647,259
"Hooded warbler","Named species",15,15,1,0,0.0666666666666667,259
"Worm-eating warbler","Named species",14,14,1,0,0.0714285714285714,259
"Common wood-pigeon","Named species",12,12,1,0,0.0833333333333333,259
"Swallow-tailed kite","Named species",12,12,1,0,0.0833333333333333,259
"Red crossbill","Named species",10,10,1,0,0.1,259
"Gray francolin","Named species",9,9,1,0,0.111111111111111,259
"Least bittern","Named species",9,9,1,0,0.111111111111111,259
"Sooty tern","Named species",9,9,1,0,0.111111111111111,259
"Black-footed albatross","Named species",8,8,1,0,0.125,259
"Hudsonian godwit","Named species",8,8,1,0,0.125,259
"Eurasian kestrel","Named species",7,7,1,0,0.142857142857143,259
"Flammulated owl","Named species",7,7,1,0,0.142857142857143,259
"Purple gallinule","Named species",7,7,1,0,0.142857142857143,259
"White-winged crossbill","Named species",7,7,1,0,0.142857142857143,259
"Arctic tern","Named species",6,6,1,0,0.166666666666667,259
"Cassin's finch","Named species",6,6,1,0,0.166666666666667,259
"Scaly-naped pigeon","Named species",6,6,1,0,0.166666666666667,259
"White-tailed hawk","Named species",6,6,1,0,0.166666666666667,259
"Brandt's cormorant","Named species",5,5,1,0,0.2,259
"Eurasian buzzard","Named species",5,5,1,0,0.2,259
"Evening grosbeak","Named species",5,5,1,0,0.2,259
"Louisiana waterthrush","Named species",5,5,1,0,0.2,259
"Muscovy duck","Named species",5,5,1,0,0.2,259
"Piping plover","Named species",5,5,1,0,0.2,259
"Roseate spoonbill","Named species",5,5,1,0,0.2,259
"Stilt sandpiper","Named species",5,5,1,0,0.2,259
"Sulphur-bellied flycatcher","Named species",5,5,1,0,0.2,259
"White-crested elaenia","Named species",5,5,1,0,0.2,259
"Eastern cattle egret","Named species",4,4,1,0,0.25,259
"Gambel's quail","Named species",4,4,1,0,0.25,259
"Great gray owl","Named species",4,4,1,0,0.25,259
"Iceland gull","Named species",4,4,1,0,0.25,259
"Red-tailed tropicbird","Named species",4,4,1,0,0.25,259
"Western barn owl","Named species",4,4,1,0,0.25,259
"White-crowned pigeon","Named species",4,4,1,0,0.25,259
"Carrion crow","Named species",3,3,1,0,0.333333333333333,259
