"SPECIES","SPECIES_GROUP","REVIEW_STATUS"
"Cattle","Other mammals","Reviewed 2026-09-18"
"Cave swallow","Perching birds","Existing assignment; not fully audited"
"Cedar waxwing","Perching birds","Existing assignment; not fully audited"
"Cerulean warbler","Perching birds","Existing assignment; not fully audited"
"Checkered garter snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Chestnut munia","Perching birds","Reviewed 2026-09-18"
"Chestnut-collared longspur","Perching birds","Reviewed 2026-09-18"
"Chestnut-sided warbler","Perching birds","Existing assignment; not fully audited"
"Chickadees","Perching birds","Existing assignment; not fully audited"
"Chicken turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Chihuahuan meadowlark","Perching birds","Existing assignment; not fully audited"
"Chimney swift","Other birds","Existing assignment; not fully audited"
"Chinese pond heron","Wading birds","Existing assignment; not fully audited"
"Chipping sparrow","Perching birds","Existing assignment; not fully audited"
"Chuck-will's-widow","Other birds","Reviewed 2026-09-18"
"Chukar","Upland game birds","Existing assignment; not fully audited"
"Cinnamon teal","Waterfowl","Existing assignment; not fully audited"
"Clapper rail","Wading birds","Reviewed 2026-09-18"
"Clark's grebe","Seabirds","Existing assignment; not fully audited"
"Clark's nutcracker","Corvids","Reviewed 2026-09-18"
"Clay-colored sparrow","Perching birds","Existing assignment; not fully audited"
"Cliff swallow","Perching birds","Existing assignment; not fully audited"
"Coastal plain cooter","Reptiles & amphibians","Reviewed 2026-09-18"
"Collared peccary","Other mammals","Reviewed 2026-09-18"
"Collared plover","Shorebirds","Existing assignment; not fully audited"
"Columbian ground squirrel","Other mammals","Existing assignment; not fully audited"
"Common box turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Common chaffinch","Perching birds","Existing assignment; not fully audited"
"Common crane","Wading birds","Existing assignment; not fully audited"
"Common cuckoo","Other birds","Existing assignment; not fully audited"
"Common eider","Waterfowl","Reviewed 2026-09-18"
"Common gallinule","Wading birds","Reviewed 2026-09-18"
"Common garter snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Common goldeneye","Waterfowl","Existing assignment; not fully audited"
"Common grackle","Perching birds","Existing assignment; not fully audited"
"Common grasshopper warbler","Perching birds","Existing assignment; not fully audited"
"Common gray fox","Other mammals","Existing assignment; not fully audited"
"Common ground dove","Doves & pigeons","Existing assignment; not fully audited"
"Common gull","Gulls & terns","Existing assignment; not fully audited"
"Common kingsnake","Reptiles & amphibians","Reviewed 2026-09-18"
